City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
235,Berlevag,NO,2021-10-03 00:40:47,70.8578,29.0864,49.39,85,76,26.11
236,Muli,MV,2021-10-03 00:48:26,2.9167,73.5667,82.17,76,40,13.4
237,Derzhavinsk,KZ,2021-10-03 00:48:26,51.1,66.3167,43.36,91,100,7.61
238,Longyearbyen,SJ,2021-10-03 00:42:21,78.2186,15.6401,37.24,87,75,2.3
239,Kavaratti,IN,2021-10-03 00:41:28,10.5669,72.642,81.7,80,100,14.5
240,Rawson,AR,2021-10-03 00:41:56,-43.3002,-65.1023,45.66,45,7,13.33
241,Tukan,RU,2021-10-03 00:48:27,53.8409,57.4552,37.22,95,96,4.32
242,Boundiali,CI,2021-10-03 00:48:28,9.5217,-6.4869,68.7,98,99,2.75
243,Mitu,CO,2021-10-03 00:48:28,1.1983,-70.1733,76.75,81,100,3.0
244,Dasoguz,TM,2021-10-03 00:48:28,41.8363,59.9666,44.55,53,0,6.91
245,Conakry,GN,2021-10-03 00:45:23,9.538,-13.6773,78.87,89,75,4.61
246,Filingue,NE,2021-10-03 00:48:29,14.3521,3.3168,88.03,30,1,7.74
247,Floro,NO,2021-10-03 00:48:29,61.5996,5.0328,53.96,62,40,14.97
248,Roald,NO,2021-10-03 00:41:32,62.5833,6.1333,53.33,76,100,4.61
249,Nanakuli,US,2021-10-03 00:48:30,21.3906,-158.1547,87.75,52,40,6.91
250,Kavieng,PG,2021-10-03 00:42:04,-2.5744,150.7967,84.67,65,20,4.52
251,Yulara,AU,2021-10-03 00:40:20,-25.2406,130.9889,66.04,32,0,11.5
252,Santa Cruz,BO,2021-10-03 00:37:36,-17.8,-63.1667,85.46,58,0,13.8
253,Norman Wells,CA,2021-10-03 00:40:25,65.282,-126.8329,33.84,93,90,10.36
254,Havre-Saint-Pierre,CA,2021-10-03 00:40:16,50.2334,-63.5986,46.76,100,90,3.44
255,Traverse City,US,2021-10-03 00:43:41,44.7631,-85.6206,69.87,93,75,0.0
256,Sabang,ID,2021-10-03 00:40:39,5.8933,95.3214,81.14,78,29,3.69
257,Svetlyy Yar,RU,2021-10-03 00:48:31,48.4748,44.781,38.8,56,0,3.53
258,Raga,SS,2021-10-03 00:48:31,8.4596,25.678,68.76,96,100,5.66
259,Demba,CD,2021-10-03 00:48:32,-5.51,22.2667,67.23,97,100,0.49
260,Souillac,MU,2021-10-03 00:39:58,-20.5167,57.5167,72.36,88,40,11.5
261,Goryachiy Klyuch,RU,2021-10-03 00:48:32,44.6308,39.13,53.44,85,100,3.74
262,Urucui,BR,2021-10-03 00:48:33,-7.2294,-44.5561,78.94,59,69,2.42
263,Jega,NG,2021-10-03 00:48:33,12.2175,4.3792,82.17,57,21,7.96
264,Pilot Butte,CA,2021-10-03 00:48:33,50.4668,-104.4178,62.22,35,75,5.75
265,Mahebourg,MU,2021-10-03 00:41:05,-20.4081,57.7,72.25,88,40,11.5
266,Amapa,BR,2021-10-03 00:48:34,1.0,-52.0,73.24,96,100,2.82
267,Khakhea,BW,2021-10-03 00:48:34,-24.6895,23.494,52.84,27,0,11.32
268,Canutama,BR,2021-10-03 00:48:35,-6.5339,-64.3831,77.31,79,87,2.51
269,Gamba,GA,2021-10-03 00:48:35,-2.65,10.0,75.52,88,100,7.0
270,Port Hardy,CA,2021-10-03 00:48:35,50.6996,-127.4199,51.98,93,90,9.22
271,Kitui,KE,2021-10-03 00:41:49,-1.367,38.0106,62.91,86,100,6.51
272,Lavrentiya,RU,2021-10-03 00:39:26,65.5833,-171.0,29.08,74,7,6.51
273,Inverell,AU,2021-10-03 00:48:36,-29.7833,151.1167,70.11,50,1,5.99
274,Gairatganj,IN,2021-10-03 00:48:37,23.4202,78.2385,73.9,90,47,4.79
275,Bela,IN,2021-10-03 00:48:37,25.9333,81.9833,76.33,86,1,4.43
276,Beloha,MG,2021-10-03 00:41:56,-25.1667,45.05,69.24,73,3,2.19
277,Huarmey,PE,2021-10-03 00:41:59,-10.0681,-78.1522,62.73,85,33,5.93
278,Vila Velha,BR,2021-10-03 00:42:22,-20.3297,-40.2925,76.95,83,40,12.66
279,Itarema,BR,2021-10-03 00:48:38,-2.9248,-39.9167,78.58,82,2,15.88
280,Shalakusha,RU,2021-10-03 00:48:38,62.2247,40.2539,43.81,85,100,3.27
281,Parangan,PH,2021-10-03 00:48:39,5.0839,119.9383,84.34,68,100,3.96
282,Korla,CN,2021-10-03 00:40:22,41.7597,86.1469,49.96,43,100,16.73
283,Sao Joao Da Barra,BR,2021-10-03 00:42:35,-21.6403,-41.0511,73.92,92,79,3.71
284,Tocopilla,CL,2021-10-03 00:48:39,-22.092,-70.1979,63.34,67,20,11.1
285,Warangal,IN,2021-10-03 00:47:25,18.0,79.5833,74.44,95,93,5.03
286,Kichera,RU,2021-10-03 00:48:40,55.9375,110.0997,39.61,61,11,2.98
287,Bay Roberts,CA,2021-10-03 00:48:40,47.5999,-53.2648,56.03,93,100,1.99
288,Muros,ES,2021-10-03 00:48:41,42.7762,-9.0603,59.23,92,100,11.34
289,Jijiga,ET,2021-10-03 00:48:41,9.35,42.8,64.56,77,30,2.55
290,Katsuura,JP,2021-10-03 00:40:31,35.1333,140.3,73.51,74,0,9.69
291,Vao,NC,2021-10-03 00:40:09,-22.6667,167.4833,72.16,92,98,15.66
292,Kyra,RU,2021-10-03 00:48:42,49.5776,111.9753,34.03,94,100,4.59
293,Catumbela,AO,2021-10-03 00:48:42,-12.4314,13.5472,69.17,86,22,2.93
